Employee_ID,Name,Age,Gender,Department,Designation,Salary,Experience,Joining_Date,Location,Email
E001,Simran Sharma,49,Female,Finance,Executive,101820,2.8,2011-04-12,Nagpur,simran.sharma@company.com
E002,Simran Gupta,43,Male,Operations,Executive,62194,7.2,2019-06-07,Nashik,simran.gupta@company.com
E003,Pooja Bande,56,Female,IT,Manager,85263,10.8,2014-08-13,Nashik,pooja.bande@company.com
E004,Rahul Deshmukh,22,Male,Sales,Manager,84735,12.6,2016-08-30,Mumbai,rahul.deshmukh@company.com
E005,Pooja Patil,41,Male,HR,Analyst,108104,4.9,2021-04-10,Pune,pooja.patil@company.com
E006,Pooja Yadav,45,Male,HR,Executive,50658,6.3,2015-08-10,Nashik,pooja.yadav@company.com
E007,Simran Gupta,48,Male,Sales,Assistant,27747,5.8,2010-07-09,Delhi,simran.gupta@company.com
E008,Rahul Yadav,23,Male,Finance,Analyst,94092,9.3,2017-11-28,Nagpur,rahul.yadav@company.com
E009,Rajesh Mehta,38,Male,Marketing,Assistant,35627,14.2,2015-08-24,Delhi,rajesh.mehta@company.com
E010,Pooja Mehta,29,Female,Operations,Executive,48897,1.9,2013-09-25,Nashik,pooja.mehta@company.com
E011,Pooja Mehta,48,Male,Operations,Assistant,48483,2.3,2016-12-31,Nagpur,pooja.mehta@company.com
E012,Amit Bande,28,Female,Sales,Manager,105077,6.2,2014-05-05,Nashik,amit.bande@company.com
E013,Simran Mehta,24,Male,Sales,Senior Executive,44457,6.7,2017-02-26,Bangalore,simran.mehta@company.com
E014,Vijay Kumar,24,Male,Operations,Analyst,65757,1.0,2010-06-11,Pune,vijay.kumar@company.com
E015,Amit Sharma,30,Female,IT,Analyst,117093,13.9,2023-06-13,Nashik,amit.sharma@company.com
E016,Vijay Deshmukh,35,Male,HR,Assistant,119663,8.8,2013-06-29,Pune,vijay.deshmukh@company.com
E017,Nisha Mehta,41,Female,Marketing,Manager,48247,11.3,2012-05-28,Nashik,nisha.mehta@company.com
E018,Amit Yadav,44,Male,HR,Senior Executive,37185,14.5,2011-01-15,Mumbai,amit.yadav@company.com
E019,Vijay Gupta,49,Female,Operations,Assistant,76214,2.9,2017-01-12,Nagpur,vijay.gupta@company.com
E020,Karan Chavan,44,Female,Sales,Manager,87592,3.4,2014-02-04,Bangalore,karan.chavan@company.com
E021,Rahul Singh,31,Female,Operations,Manager,112538,10.7,2022-05-12,Pune,rahul.singh@company.com
E022,Anita Gupta,53,Male,HR,Analyst,37666,1.6,2016-03-28,Bangalore,anita.gupta@company.com
E023,Karan Kumar,48,Male,Sales,Senior Executive,47662,12.8,2023-05-08,Bangalore,karan.kumar@company.com
E024,Rahul Mehta,54,Female,IT,Senior Executive,77256,1.4,2016-09-20,Nashik,rahul.mehta@company.com
E025,Nisha Sharma,44,Male,Finance,Manager,109651,9.7,2014-04-20,Nashik,nisha.sharma@company.com
